ACCOUNT_ID,DEFAULT_FLAG,COLLATERAL_TYPE,SENIORITY,SECTOR,REGION,ECONOMIC_SEGMENT,EXPOSURE_AT_DEFAULT,COLLATERAL_VALUE,DAYS_PAST_DUE,INTEREST_RATE,RECOVERY_TIME_MONTHS,GUARANTEE_FLAG,LTV_RATIO,LGD_OBS,RECOVERY_RATE,LGD_MODEL_PRED
A0099,0,Corporate,Subordinated,Retail,South,Prime,665610.0,460378.0,183,15.87,32,0,1.45,0.684,0.316,0.686
A0100,0,Mortgage,Senior,SME,East,Prime,718169.0,290794.0,544,10.42,11,0,2.47,0.527,0.473,0.514
A0101,0,Mortgage,Subordinated,Retail,North,Prime,275462.0,266740.0,9,4.96,1,0,1.03,0.615,0.385,0.614
A0102,0,None,Senior,Corporate,East,Near-Prime,322512.0,298197.0,591,13.44,25,0,1.08,0.535,0.465,0.536
A0103,0,None,Senior,Corporate,East,Subprime,133999.0,183014.0,191,6.09,24,1,0.73,0.366,0.634,0.371
A0104,0,None,Senior,SME,West,Prime,658955.0,403554.0,319,9.62,17,0,1.63,0.677,0.323,0.658
A0105,1,None,Subordinated,Retail,North,Near-Prime,49399.0,261643.0,701,3.98,8,1,0.19,0.557,0.443,0.552
A0106,0,Mortgage,Senior,SME,East,Subprime,601706.0,58374.0,579,15.38,27,1,3.0,0.407,0.593,0.405
A0107,0,Mortgage,Subordinated,Corporate,East,Subprime,870999.0,64533.0,474,4.89,18,0,3.0,0.847,0.153,0.802
A0108,1,Corporate,Subordinated,Retail,North,Prime,891924.0,268430.0,636,16.55,27,0,3.0,0.751,0.249,0.768
A0109,0,Corporate,Senior,SME,West,Subprime,454547.0,468285.0,426,15.96,22,0,0.97,0.51,0.49,0.513
A0110,0,Mortgage,Subordinated,SME,East,Prime,464711.0,154176.0,58,9.97,16,0,3.0,0.82,0.18,0.825
A0111,0,Corporate,Senior,SME,South,Prime,86199.0,434771.0,435,14.17,2,0,0.2,0.31,0.69,0.3
A0112,0,Mortgage,Senior,Retail,East,Prime,674057.0,382048.0,96,12.29,5,1,1.76,0.394,0.606,0.406
A0113,1,Mortgage,Senior,Corporate,South,Prime,823047.0,123906.0,495,15.05,18,0,3.0,0.513,0.487,0.496
A0114,1,Vehicle,Subordinated,Retail,West,Prime,252209.0,18170.0,660,9.48,3,0,3.0,0.702,0.298,0.689
A0115,0,Vehicle,Senior,Retail,East,Prime,427088.0,50924.0,277,14.79,27,0,3.0,0.585,0.415,0.598
A0116,1,Vehicle,Senior,Corporate,North,Prime,840451.0,364247.0,264,9.94,17,1,2.31,0.432,0.568,0.439
A0117,1,Mortgage,Senior,Corporate,North,Subprime,878349.0,99835.0,8,17.11,16,0,3.0,0.678,0.322,0.652
A0118,0,None,Senior,Retail,East,Subprime,250748.0,185635.0,456,10.3,6,0,1.35,0.506,0.494,0.538
A0119,1,Mortgage,Senior,Retail,West,Prime,555065.0,250850.0,272,9.94,7,0,2.21,0.549,0.451,0.534
A0120,0,Mortgage,Subordinated,Retail,West,Subprime,200568.0,362734.0,7,14.78,14,0,0.55,0.686,0.314,0.683
A0121,1,None,Subordinated,Retail,North,Subprime,110860.0,56616.0,207,15.32,15,1,1.96,0.869,0.131,0.904
A0122,1,None,Senior,Retail,East,Near-Prime,912009.0,203183.0,636,11.32,33,1,3.0,0.458,0.542,0.417
A0123,0,None,Subordinated,Retail,West,Prime,822302.0,242536.0,122,5.7,27,0,3.0,0.933,0.067,0.899
A0124,0,Corporate,Senior,SME,North,Near-Prime,762435.0,270414.0,32,10.02,29,0,2.82,0.479,0.521,0.488
A0125,0,Corporate,Subordinated,Corporate,South,Subprime,58279.0,409180.0,512,17.52,5,0,0.14,0.711,0.289,0.661
A0126,0,Vehicle,Senior,SME,East,Near-Prime,845292.0,85839.0,203,14.29,29,0,3.0,0.481,0.519,0.44
A0127,1,Mortgage,Senior,SME,South,Prime,443664.0,403916.0,517,15.17,32,0,1.1,0.372,0.628,0.396
A0128,1,Vehicle,Senior,Retail,South,Near-Prime,348971.0,346439.0,516,3.49,6,0,1.01,0.312,0.688,0.304
A0129,0,Mortgage,Subordinated,Public,West,Near-Prime,551012.0,277935.0,442,10.02,2,0,1.98,0.643,0.357,0.687
A0130,0,Mortgage,Senior,Corporate,West,Near-Prime,100440.0,349764.0,591,12.7,6,1,0.29,0.19,0.81,0.169
A0131,0,Corporate,Senior,Corporate,West,Prime,759080.0,206009.0,688,15.45,4,0,3.0,0.575,0.425,0.569
A0132,0,Vehicle,Senior,Corporate,East,Prime,586611.0,69199.0,338,3.74,29,1,3.0,0.418,0.582,0.429
A0133,0,Mortgage,Senior,Corporate,South,Subprime,194724.0,332883.0,437,15.79,25,0,0.58,0.345,0.655,0.354
A0134,0,Mortgage,Senior,SME,East,Subprime,196350.0,262336.0,444,11.23,9,0,0.75,0.417,0.583,0.412
A0135,1,Corporate,Senior,Retail,West,Prime,192406.0,319687.0,135,5.96,3,1,0.6,0.157,0.843,0.144
A0136,0,Mortgage,Subordinated,SME,South,Subprime,66432.0,168999.0,386,7.76,26,0,0.39,0.729,0.271,0.734
A0137,0,None,Senior,Corporate,East,Prime,591920.0,453433.0,24,7.23,27,0,1.31,0.427,0.573,0.455
A0138,1,Vehicle,Senior,Corporate,East,Near-Prime,841945.0,293685.0,505,10.96,32,0,2.87,0.572,0.428,0.587
A0139,0,Vehicle,Senior,SME,North,Near-Prime,27323.0,42701.0,324,3.78,1,0,0.64,0.321,0.679,0.308
A0140,1,Vehicle,Subordinated,Retail,East,Subprime,58515.0,224902.0,694,5.38,16,1,0.26,0.407,0.593,0.387
A0141,1,Corporate,Subordinated,Retail,West,Subprime,577043.0,378178.0,679,15.19,11,1,1.53,0.662,0.338,0.648
A0142,0,Mortgage,Senior,Corporate,East,Prime,821301.0,397067.0,337,4.99,26,0,2.07,0.576,0.424,0.551
A0143,0,Corporate,Senior,SME,South,Subprime,333472.0,247299.0,689,6.5,1,0,1.35,0.359,0.641,0.362
A0144,0,Vehicle,Senior,SME,East,Prime,356118.0,447374.0,94,9.8,26,0,0.8,0.382,0.618,0.398
A0145,0,Mortgage,Senior,Retail,North,Near-Prime,600383.0,133834.0,544,10.76,28,0,3.0,0.564,0.436,0.563
A0146,0,None,Subordinated,Retail,South,Near-Prime,281471.0,205299.0,622,14.45,9,0,1.37,0.737,0.263,0.771
A0147,0,Corporate,Senior,Corporate,South,Near-Prime,36342.0,449298.0,145,9.71,22,0,0.08,0.268,0.732,0.304
A0148,0,Corporate,Senior,SME,North,Prime,737876.0,448128.0,230,14.85,8,0,1.65,0.472,0.528,0.478
A0149,0,None,Senior,Corporate,West,Subprime,629393.0,342856.0,494,12.28,27,0,1.84,0.78,0.22,0.794
A0150,0,None,Subordinated,SME,South,Prime,584948.0,429490.0,37,4.7,19,0,1.36,0.694,0.306,0.676
A0151,1,Corporate,Senior,SME,West,Prime,744267.0,44387.0,424,5.34,25,0,3.0,0.533,0.467,0.526
A0152,0,Corporate,Senior,Retail,South,Near-Prime,678479.0,432497.0,646,9.56,21,0,1.57,0.595,0.405,0.62
A0153,0,Corporate,Senior,Corporate,South,Prime,213823.0,160310.0,436,8.95,24,1,1.33,0.136,0.864,0.124
A0154,0,Corporate,Subordinated,SME,West,Subprime,358956.0,89166.0,367,14.15,24,1,3.0,0.685,0.315,0.715
A0155,1,Corporate,Senior,SME,South,Prime,134849.0,119685.0,344,11.71,19,0,1.13,0.335,0.665,0.357
A0156,0,Corporate,Senior,SME,West,Prime,138558.0,208984.0,159,8.82,2,0,0.66,0.401,0.599,0.416
A0157,0,Mortgage,Senior,Corporate,North,Subprime,679434.0,125596.0,549,5.56,14,1,3.0,0.515,0.485,0.492
A0158,1,None,Senior,Retail,West,Near-Prime,860014.0,160284.0,661,6.4,32,1,3.0,0.521,0.479,0.515
A0159,0,None,Senior,Corporate,North,Prime,963105.0,67489.0,540,11.63,32,1,3.0,0.507,0.493,0.52
A0160,1,Mortgage,Senior,Retail,South,Near-Prime,632064.0,148088.0,143,9.35,28,0,3.0,0.561,0.439,0.541
A0161,0,Corporate,Senior,SME,West,Near-Prime,192260.0,286142.0,587,10.72,13,1,0.67,0.221,0.779,0.217
A0162,0,Mortgage,Senior,Retail,South,Near-Prime,114594.0,220927.0,656,5.56,12,0,0.52,0.374,0.626,0.389
A0163,0,Mortgage,Senior,Retail,West,Prime,814722.0,173359.0,575,12.94,8,1,3.0,0.426,0.574,0.415
A0164,0,Corporate,Subordinated,SME,North,Subprime,582969.0,373226.0,344,15.79,15,1,1.56,0.679,0.321,0.662
A0165,0,Mortgage,Senior,Retail,North,Subprime,622102.0,446755.0,268,6.87,26,0,1.39,0.383,0.617,0.347
A0166,1,Corporate,Subordinated,SME,West,Near-Prime,783647.0,378395.0,695,10.37,12,1,2.07,0.567,0.433,0.559
A0167,0,Corporate,Senior,Corporate,North,Prime,706244.0,166000.0,267,17.63,27,0,3.0,0.522,0.478,0.537
A0168,0,Vehicle,Senior,Retail,South,Subprime,836114.0,372221.0,168,8.0,18,1,2.25,0.53,0.47,0.513
A0169,0,Mortgage,Senior,Corporate,South,Near-Prime,65652.0,75990.0,32,11.93,27,0,0.86,0.387,0.613,0.387
A0170,0,Mortgage,Senior,SME,East,Near-Prime,750045.0,65159.0,376,4.35,9,1,3.0,0.318,0.682,0.314
A0171,0,Corporate,Senior,SME,North,Prime,852344.0,172814.0,213,12.09,1,0,3.0,0.59,0.41,0.577
A0172,0,None,Senior,Retail,South,Subprime,293274.0,403851.0,561,4.34,7,1,0.73,0.394,0.606,0.411
A0173,0,Corporate,Senior,Retail,West,Near-Prime,644043.0,123174.0,439,17.39,26,0,3.0,0.632,0.368,0.665
A0174,0,Mortgage,Subordinated,Retail,North,Prime,321020.0,31627.0,491,13.73,7,0,3.0,0.783,0.217,0.803
A0175,0,Corporate,Senior,Retail,South,Prime,958391.0,65855.0,392,14.82,7,0,3.0,0.473,0.527,0.459
A0176,0,Vehicle,Subordinated,Retail,North,Subprime,43089.0,429372.0,488,13.56,8,1,0.1,0.491,0.509,0.531
A0177,0,Corporate,Senior,SME,West,Prime,583995.0,316892.0,28,11.85,16,0,1.84,0.533,0.467,0.553
A0178,0,Mortgage,Senior,Corporate,South,Subprime,174839.0,126601.0,38,9.75,3,0,1.38,0.383,0.617,0.374
A0179,1,Corporate,Senior,Corporate,East,Near-Prime,715098.0,277648.0,611,15.88,10,0,2.58,0.579,0.421,0.563
A0180,0,Vehicle,Senior,SME,East,Near-Prime,184131.0,263790.0,172,17.35,7,1,0.7,0.221,0.779,0.243
A0181,0,None,Senior,Retail,North,Prime,243029.0,327718.0,16,10.49,21,0,0.74,0.444,0.556,0.447
A0182,0,Mortgage,Senior,Retail,West,Prime,499427.0,116594.0,55,16.97,31,0,3.0,0.599,0.401,0.582
A0183,1,Corporate,Senior,Retail,South,Subprime,915687.0,432201.0,225,11.75,23,0,2.12,0.62,0.38,0.617
A0184,1,None,Senior,Retail,West,Prime,219597.0,154684.0,557,11.08,27,0,1.42,0.499,0.501,0.491
A0185,0,Mortgage,Senior,SME,South,Near-Prime,152798.0,347066.0,66,9.82,22,0,0.44,0.344,0.656,0.328
A0186,0,None,Subordinated,SME,North,Prime,761387.0,8062.0,196,6.14,27,0,3.0,0.949,0.051,0.969
A0187,1,Corporate,Subordinated,Retail,South,Prime,505613.0,186329.0,653,3.06,4,1,2.71,0.624,0.376,0.64
A0188,0,Mortgage,Subordinated,Retail,West,Prime,912667.0,175855.0,22,6.62,24,1,3.0,0.549,0.451,0.566
A0189,0,Mortgage,Subordinated,Corporate,West,Near-Prime,155148.0,271742.0,605,10.65,23,0,0.57,0.665,0.335,0.681
A0190,0,Corporate,Senior,Corporate,North,Subprime,649469.0,36368.0,236,8.7,19,0,3.0,0.675,0.325,0.657
A0191,0,Mortgage,Senior,Retail,West,Prime,240550.0,395066.0,565,9.73,3,0,0.61,0.392,0.608,0.38
A0192,1,Vehicle,Subordinated,Corporate,South,Prime,165193.0,108890.0,137,17.71,27,0,1.52,0.761,0.239,0.79
A0193,1,Mortgage,Senior,Public,North,Prime,686595.0,338519.0,472,8.25,3,1,2.03,0.294,0.706,0.296
A0194,0,Corporate,Senior,Retail,South,Near-Prime,597748.0,401606.0,552,9.78,28,0,1.49,0.409,0.591,0.38
A0195,0,Mortgage,Senior,Retail,West,Prime,757279.0,280938.0,609,5.0,17,0,2.7,0.492,0.508,0.496
A0196,0,None,Senior,SME,North,Subprime,316368.0,370442.0,694,3.72,31,0,0.85,0.607,0.393,0.62
A0197,1,None,Senior,Corporate,South,Near-Prime,453492.0,330930.0,639,14.63,10,1,1.37,0.351,0.649,0.361
A0198,1,None,Subordinated,Corporate,West,Near-Prime,411417.0,177765.0,228,11.56,22,0,2.31,0.944,0.056,0.925
A0199,1,Corporate,Senior,Retail,West,Prime,984249.0,404429.0,316,14.41,30,0,2.43,0.609,0.391,0.647
A0200,1,Mortgage,Senior,Retail,East,Subprime,299326.0,147351.0,597,5.25,21,0,2.03,0.636,0.364,0.606
A0201,0,Corporate,Subordinated,SME,West,Prime,301869.0,285606.0,611,11.58,23,1,1.06,0.336,0.664,0.338
A0202,0,Mortgage,Senior,SME,South,Prime,361003.0,372699.0,560,6.8,12,1,0.97,0.169,0.831,0.204
A0203,0,Mortgage,Senior,Retail,North,Near-Prime,568948.0,189478.0,200,6.42,25,0,3.0,0.56,0.44,0.572
A0204,1,Mortgage,Senior,Corporate,East,Near-Prime,259800.0,151384.0,257,3.17,20,0,1.72,0.684,0.316,0.701
A0205,0,Vehicle,Senior,SME,West,Prime,916137.0,229673.0,479,4.96,7,1,3.0,0.303,0.697,0.282
A0206,0,Corporate,Subordinated,Corporate,West,Prime,273029.0,408982.0,177,7.64,29,0,0.67,0.587,0.413,0.594
A0207,0,Corporate,Senior,Corporate,West,Near-Prime,896858.0,464961.0,122,4.75,29,0,1.93,0.513,0.487,0.512
A0208,0,Vehicle,Subordinated,Corporate,South,Prime,112440.0,272542.0,341,17.79,13,0,0.41,0.593,0.407,0.57
A0209,0,Mortgage,Senior,SME,East,Subprime,659997.0,330733.0,170,7.63,3,0,2.0,0.641,0.359,0.658
A0210,0,None,Subordinated,SME,South,Near-Prime,907916.0,451637.0,647,4.95,2,0,2.01,0.906,0.094,0.89
A0211,0,Vehicle,Subordinated,Retail,East,Prime,177062.0,49273.0,58,5.99,16,1,3.0,0.623,0.377,0.609
A0212,0,Vehicle,Subordinated,SME,North,Prime,968644.0,116039.0,704,11.82,30,0,3.0,0.789,0.211,0.798
A0213,0,Mortgage,Senior,Retail,South,Prime,458355.0,354450.0,464,3.96,6,0,1.29,0.417,0.583,0.414
A0214,0,Corporate,Subordinated,SME,South,Near-Prime,946258.0,411872.0,259,15.94,7,1,2.3,0.568,0.432,0.571
A0215,1,Corporate,Senior,Retail,North,Near-Prime,680052.0,428515.0,372,17.42,5,0,1.59,0.643,0.357,0.639
A0216,0,Mortgage,Senior,Retail,East,Prime,308571.0,207554.0,94,6.7,7,0,1.49,0.364,0.636,0.392
A0217,0,Mortgage,Subordinated,Retail,West,Near-Prime,196419.0,44670.0,124,9.75,34,0,3.0,0.864,0.136,0.845
