account_id,report_date,age,employment_status,marital_status,dependents,region,internal_score,dpd,credit_utilization,macro_gdp_growth,macro_unemployment,macro_interest_rate,stage,pit_pd_12m,default_flag
38,2018-02-07,23,Employed,Single,3,West,463,3,0.84,1.31,3.08,3.01,1,0.18155000000000002,0
39,2018-02-08,57,Self-Employed,Single,4,East,634,30,0.96,0.41,4.04,3.63,2,0.1526,1
40,2018-02-09,27,Employed,Divorced,4,West,614,12,0.47,1.4,4.79,3.39,1,0.15145,0
41,2018-02-10,41,Employed,Married,3,North,537,26,0.44,0.09,3.02,3.41,1,0.17495,1
42,2018-02-11,29,Unemployed,Divorced,4,West,382,58,0.74,2.28,4.14,2.8,2,0.19739999999999996,0
43,2018-02-12,59,Unemployed,Married,4,West,408,64,0.28,2.22,7.09,2.8,2,0.20625,0
44,2018-02-13,38,Employed,Single,3,West,477,63,0.7,2.7,3.51,2.7,2,0.1663,0
45,2018-02-14,24,Employed,Married,0,East,549,24,1.15,0.97,4.55,2.55,1,0.1708,0
46,2018-02-15,45,Unemployed,Single,1,South,866,36,1.27,0.56,6.07,3.29,2,0.10325000000000001,0
47,2018-02-16,34,Self-Employed,Married,2,South,390,113,0.58,4.06,2.59,2.73,3,0.16985,0
48,2018-02-17,29,Unemployed,Single,1,East,638,107,0.93,1.92,7.03,2.35,3,0.15144999999999997,0
49,2018-02-18,46,Unemployed,Married,0,North,468,74,0.0,2.7,4.07,3.14,2,0.17135,0
50,2018-02-19,22,Unemployed,Single,0,North,438,72,0.83,2.13,3.42,3.03,2,0.1813,0
51,2018-02-20,40,Employed,Divorced,4,East,816,70,1.46,2.74,7.08,3.15,2,0.099,1
52,2018-02-21,48,Employed,Divorced,1,South,877,13,0.47,2.23,6.31,3.72,1,0.085,0
53,2018-02-22,67,Self-Employed,Married,0,North,483,93,0.89,1.2,3.46,3.01,3,0.17955,0
54,2018-02-23,27,Self-Employed,Married,1,East,469,23,1.14,2.54,4.43,2.68,1,0.1745,0
55,2018-02-24,64,Unemployed,Married,0,South,661,66,0.91,2.3,5.43,2.68,2,0.13390000000000002,0
56,2018-02-25,28,Employed,Married,2,North,543,47,0.63,0.32,4.51,2.52,2,0.1786,0
57,2018-02-26,67,Employed,Married,0,North,437,102,0.23,2.29,6.93,2.62,3,0.19749999999999998,0
58,2018-02-27,55,Unemployed,Married,1,East,327,90,0.7,1.61,6.29,2.37,3,0.22859999999999997,0
59,2018-02-28,34,Unemployed,Married,4,South,818,64,0.44,1.33,0.5,3.06,2,0.0797,0
60,2018-03-01,37,Retired,Divorced,1,North,697,37,1.04,2.98,3.76,2.66,2,0.10975,0
61,2018-03-02,56,Unemployed,Married,3,East,632,89,0.66,1.93,4.19,3.06,2,0.13865,0
62,2018-03-03,60,Self-Employed,Married,1,North,616,69,1.27,1.96,4.29,2.82,2,0.14285,0
63,2018-03-04,24,Self-Employed,Married,2,South,862,58,0.29,2.09,5.67,2.95,2,0.08695,0
64,2018-03-05,22,Unemployed,Married,2,West,725,105,0.63,1.97,6.7,3.88,3,0.12755,0
65,2018-03-06,26,Self-Employed,Married,2,North,435,11,0.84,1.9,4.04,3.57,1,0.18744999999999998,1
66,2018-03-07,62,Self-Employed,Single,0,South,566,53,0.19,3.46,3.31,2.23,2,0.13545,0
67,2018-03-08,24,Employed,Married,2,North,406,50,0.88,1.32,4.51,2.7,2,0.20284999999999997,0
68,2018-03-09,49,Employed,Widowed,1,West,859,37,0.44,0.26,1.75,2.05,2,0.0864,0
69,2018-03-10,38,Unemployed,Married,4,West,437,45,0.34,2.04,6.05,2.8,2,0.1956,0
70,2018-03-11,46,Employed,Married,2,North,346,98,0.21,1.06,4.81,3.17,3,0.22194999999999998,0
71,2018-03-12,64,Employed,Single,1,East,667,9,0.52,0.9,4.38,3.54,1,0.14115,0
72,2018-03-13,54,Employed,Married,0,North,305,8,1.39,1.98,5.33,3.51,1,0.2256,0
73,2018-03-14,30,Employed,Married,0,South,822,86,0.05,2.27,3.62,3.16,2,0.0849,0
74,2018-03-15,56,Employed,Married,4,East,828,93,1.28,1.83,4.47,2.53,3,0.09204999999999999,0
75,2018-03-16,34,Employed,Single,4,South,571,51,0.6,1.54,3.98,3.42,2,0.15675,0
76,2018-03-17,51,Retired,Divorced,1,South,365,50,0.84,1.8,2.16,3.02,2,0.19655,0
77,2018-03-18,68,Employed,Married,4,East,719,21,0.77,1.95,4.99,3.09,1,0.1207,1
78,2018-03-19,35,Employed,Single,4,West,638,110,1.39,2.0,8.78,3.98,3,0.1594,1
79,2018-03-20,28,Employed,Single,0,South,797,72,1.16,0.21,5.04,2.53,2,0.11885,0
80,2018-03-21,34,Self-Employed,Single,1,North,768,82,1.48,2.87,3.84,4.04,2,0.0935,0
81,2018-03-22,43,Employed,Married,4,West,630,71,1.19,0.54,5.09,3.9,2,0.15755000000000002,0
82,2018-03-23,60,Unemployed,Single,1,West,430,117,0.44,1.33,3.36,3.03,3,0.19099999999999998,1
83,2018-03-24,41,Self-Employed,Single,2,East,829,67,1.44,0.45,4.1,3.1,2,0.10375000000000001,0
84,2018-03-25,36,Unemployed,Married,0,North,737,4,1.48,2.17,4.36,2.65,1,0.11085,0
85,2018-03-26,65,Employed,Single,0,North,542,82,0.18,1.29,4.17,3.1,2,0.16745,0
86,2018-03-27,38,Self-Employed,Single,0,West,762,109,1.35,1.82,4.56,3.05,3,0.10910000000000002,1
87,2018-03-28,67,Employed,Married,3,South,649,81,1.0,1.26,6.04,2.66,2,0.15034999999999998,1
88,2018-03-29,44,Retired,Married,1,South,316,28,1.38,0.95,4.39,2.64,1,0.22845,0
89,2018-03-30,46,Self-Employed,Married,2,North,765,82,1.37,-0.51,4.56,2.88,2,0.13165000000000002,0
90,2018-03-31,45,Employed,Married,4,West,662,5,1.34,1.41,2.12,3.0,1,0.126,0
91,2018-04-01,65,Employed,Married,2,West,509,68,1.33,0.79,3.02,2.14,2,0.17495,0
92,2018-04-02,61,Employed,Married,1,West,824,57,0.18,2.52,5.12,3.56,2,0.08940000000000001,0
93,2018-04-03,49,Self-Employed,Single,0,East,719,42,0.22,4.08,6.71,2.75,2,0.10800000000000001,0
94,2018-04-04,35,Employed,Single,3,North,432,119,0.18,3.83,4.72,2.85,3,0.17229999999999998,0
95,2018-04-05,65,Self-Employed,Married,1,North,313,68,0.14,1.92,4.89,3.09,2,0.22199999999999998,0
96,2018-04-06,21,Employed,Single,1,South,343,71,0.53,1.21,2.87,2.87,2,0.21149999999999997,0
97,2018-04-07,45,Self-Employed,Married,4,South,676,90,1.03,0.05,3.77,3.57,3,0.14435,0
98,2018-04-08,27,Unemployed,Married,2,North,594,36,0.53,1.58,5.36,2.86,2,0.1575,0
99,2018-04-09,29,Unemployed,Single,2,North,695,106,1.08,1.09,6.8,2.71,3,0.14434999999999998,0
100,2018-04-10,44,Unemployed,Single,4,South,403,57,1.23,1.26,5.3,3.31,2,0.20815,0
101,2018-04-11,21,Employed,Single,3,North,744,108,1.0,0.37,4.8,3.38,3,0.12930000000000003,0
102,2018-04-12,64,Employed,Married,0,South,361,101,0.7,2.7,5.39,4.25,3,0.20469999999999997,1
103,2018-04-13,28,Self-Employed,Married,0,North,864,36,0.44,2.51,3.48,2.05,2,0.0713,0
104,2018-04-14,44,Employed,Married,3,East,711,81,0.19,1.08,3.6,3.04,2,0.12445,0
105,2018-04-15,31,Employed,Single,4,East,620,25,0.74,2.86,4.65,3.34,1,0.13465,0
106,2018-04-16,37,Employed,Married,1,West,430,41,1.08,2.06,3.27,2.55,2,0.18325,0
107,2018-04-17,28,Employed,Divorced,2,North,498,15,0.82,2.53,6.05,3.7,1,0.17545,1
108,2018-04-18,55,Employed,Single,1,South,335,21,1.08,2.77,6.41,2.66,1,0.21559999999999999,0
109,2018-04-19,55,Unemployed,Married,2,North,515,109,0.5,2.36,4.59,3.06,3,0.16560000000000002,1
110,2018-04-20,53,Employed,Widowed,1,North,885,22,0.1,1.18,6.13,3.54,1,0.09260000000000002,0
111,2018-04-21,25,Self-Employed,Single,4,West,605,46,1.16,3.05,7.23,2.45,2,0.1494,0
112,2018-04-22,62,Employed,Married,4,South,866,66,0.33,2.77,5.6,2.93,2,0.07879999999999998,0
113,2018-04-23,59,Self-Employed,Single,3,North,311,2,0.92,2.79,6.35,3.38,1,0.2211,0
114,2018-04-24,61,Employed,Married,1,South,382,11,1.21,0.67,4.89,3.08,1,0.21724999999999997,1
115,2018-04-25,48,Unemployed,Single,1,North,331,22,0.21,0.53,6.35,3.33,1,0.23869999999999997,1
116,2018-04-26,27,Unemployed,Widowed,3,West,707,110,0.9,3.51,4.81,3.4,3,0.10719999999999999,1
117,2018-04-27,29,Employed,Married,3,South,385,10,1.03,1.36,3.95,2.74,1,0.20489999999999997,0
118,2018-04-28,28,Retired,Married,4,North,710,105,1.12,2.25,6.04,3.81,3,0.12519999999999998,0
119,2018-04-29,32,Retired,Married,4,East,862,51,0.22,3.21,5.33,2.58,2,0.07405,0
120,2018-04-30,54,Unemployed,Married,1,South,555,110,1.24,3.63,6.17,3.68,3,0.1508,0
121,2018-05-01,53,Unemployed,Married,4,West,540,49,0.14,2.57,3.89,3.18,2,0.15375,0
122,2018-05-02,68,Employed,Divorced,4,East,751,56,0.78,1.48,5.48,2.69,2,0.11985,0
123,2018-05-03,43,Self-Employed,Widowed,1,South,300,63,0.67,1.71,6.41,2.57,2,0.23495,0
124,2018-05-04,44,Employed,Married,3,South,581,45,0.33,2.37,4.33,3.14,2,0.1477,0
125,2018-05-05,57,Employed,Divorced,1,South,898,28,0.45,2.17,6.2,2.89,1,0.0798,0
126,2018-05-06,55,Retired,Married,0,South,813,69,0.25,1.28,7.36,3.24,2,0.11574999999999999,0
127,2018-05-07,64,Employed,Married,1,North,418,45,0.64,-0.65,4.12,2.89,2,0.2176,0
128,2018-05-08,60,Unemployed,Married,0,North,804,15,0.05,1.26,5.4,3.04,1,0.1084,0
129,2018-05-09,42,Unemployed,Single,1,South,379,97,1.33,1.79,7.63,3.26,3,0.22049999999999997,0
130,2018-05-10,47,Unemployed,Single,0,West,518,50,0.25,1.99,2.85,2.97,2,0.15985,0
131,2018-05-11,55,Retired,Single,0,North,816,100,1.33,3.71,5.61,2.87,3,0.08195000000000001,0
132,2018-05-12,21,Employed,Married,1,South,765,10,1.3,3.07,6.04,3.18,1,0.10325000000000001,0
133,2018-05-13,55,Employed,Single,4,South,817,10,0.68,1.54,5.03,2.82,1,0.1005,0
134,2018-05-14,57,Employed,Married,2,West,801,62,0.75,2.5,8.36,3.34,2,0.11155,0
135,2018-05-15,67,Employed,Widowed,4,West,357,52,0.45,-0.66,5.74,3.23,2,0.24105000000000001,0
136,2018-05-16,34,Employed,Single,0,West,636,88,1.5,3.23,7.02,3.35,2,0.1388,0
137,2018-05-17,23,Employed,Married,1,East,809,57,1.01,1.5,6.25,3.35,2,0.109,0
138,2018-05-18,21,Unemployed,Single,1,South,725,18,1.43,2.19,7.24,2.88,1,0.12805,0
139,2018-05-19,25,Self-Employed,Single,1,West,859,31,0.62,2.03,5.26,2.0,2,0.08625000000000001,0
140,2018-05-20,46,Employed,Married,1,South,669,49,1.32,3.03,3.04,2.92,2,0.11265,0
141,2018-05-21,34,Self-Employed,Married,2,North,710,71,0.67,1.65,5.82,3.12,2,0.1301,0
142,2018-05-22,59,Employed,Married,3,South,731,54,1.3,2.82,2.47,2.94,2,0.09640000000000001,0
143,2018-05-23,47,Employed,Single,0,South,495,75,0.2,2.36,4.5,2.64,2,0.17015000000000002,0
144,2018-05-24,29,Unemployed,Married,2,East,676,40,0.96,2.12,4.3,3.62,2,0.1263,0
145,2018-05-25,35,Self-Employed,Single,4,North,664,98,1.02,1.89,4.42,2.6,3,0.1322,0
146,2018-05-26,35,Unemployed,Single,3,North,704,69,0.98,1.49,6.9,2.66,2,0.1386,0
147,2018-05-27,46,Employed,Single,3,East,791,20,0.67,1.83,4.96,2.78,1,0.10375,0
148,2018-05-28,62,Unemployed,Single,1,West,365,116,1.03,1.62,8.08,2.85,3,0.22794999999999999,0
149,2018-05-29,33,Self-Employed,Single,2,West,690,25,0.36,2.42,4.9,2.71,1,0.12279999999999999,0
150,2018-05-30,52,Self-Employed,Single,4,South,382,119,0.89,0.87,1.79,2.99,3,0.19974999999999998,0
151,2018-05-31,59,Self-Employed,Widowed,1,East,780,0,0.83,2.07,4.11,3.05,1,0.09985000000000001,0
152,2018-06-01,69,Unemployed,Single,1,West,528,80,0.48,3.52,6.28,2.52,2,0.1592,0
153,2018-06-02,52,Self-Employed,Single,0,North,524,98,1.17,1.56,2.98,2.44,3,0.1633,0
154,2018-06-03,24,Self-Employed,Single,3,East,412,26,0.12,2.44,4.47,3.36,1,0.18994999999999998,0
155,2018-06-04,50,Retired,Married,4,West,484,49,0.26,-0.32,6.22,2.98,2,0.20829999999999999,0
156,2018-06-05,57,Unemployed,Single,3,North,811,113,0.71,0.42,4.53,3.5,3,0.11069999999999999,0
157,2018-06-06,43,Employed,Divorced,2,East,472,65,1.34,1.87,4.17,3.32,2,0.17915,0
158,2018-06-07,59,Unemployed,Widowed,0,South,822,99,0.86,1.92,6.88,2.85,3,0.10469999999999999,0
159,2018-06-08,65,Employed,Single,1,South,504,64,1.26,2.04,4.66,3.22,2,0.1719,1
160,2018-06-09,35,Employed,Married,0,North,837,9,0.78,4.19,3.44,3.37,1,0.06105,0
161,2018-06-10,63,Self-Employed,Single,1,West,618,94,1.18,1.42,6.25,2.6,3,0.15755,0
162,2018-06-11,49,Retired,Married,0,West,458,36,0.49,2.08,6.71,2.23,2,0.19325,0
163,2018-06-12,56,Retired,Married,1,East,577,68,1.22,1.28,5.27,2.52,2,0.1643,0
164,2018-06-13,33,Employed,Single,3,North,447,40,0.6,2.74,4.13,3.29,2,0.1765,0
165,2018-06-14,52,Employed,Single,3,West,382,45,0.84,0.85,3.67,3.86,2,0.20934999999999998,0
166,2018-06-15,27,Employed,Married,3,South,718,116,0.26,1.3,4.17,2.98,3,0.12335000000000002,0
167,2018-06-16,42,Retired,Married,3,North,837,76,1.38,1.1,3.11,3.64,2,0.0903,0
168,2018-06-17,48,Retired,Single,0,South,882,44,1.05,2.82,4.26,3.46,2,0.06760000000000001,0
169,2018-06-18,22,Self-Employed,Married,1,North,848,87,1.29,2.13,5.82,2.65,2,0.09080000000000002,0
170,2018-06-19,62,Unemployed,Married,3,East,691,26,0.31,2.28,6.11,2.97,1,0.13,0
171,2018-06-20,65,Unemployed,Divorced,0,West,432,64,0.1,1.81,5.04,3.32,2,0.1941,1
172,2018-06-21,26,Self-Employed,Single,1,West,541,112,0.51,3.21,5.57,2.41,3,0.15550000000000003,0
173,2018-06-22,48,Employed,Married,0,West,750,83,0.78,1.85,4.65,3.42,2,0.11224999999999999,0
174,2018-06-23,48,Employed,Married,3,South,499,7,1.2,3.97,3.9,3.54,1,0.15005,0
175,2018-06-24,64,Self-Employed,Single,2,West,416,66,0.6,3.27,4.49,3.41,2,0.18075,0
176,2018-06-25,64,Self-Employed,Married,0,North,518,48,0.4,0.52,6.69,2.94,2,0.19375,1
177,2018-06-26,40,Employed,Married,3,South,604,95,0.56,2.64,1.59,3.24,3,0.12555,0
178,2018-06-27,50,Retired,Divorced,4,East,542,107,1.06,3.27,3.28,3.49,3,0.1432,0
179,2018-06-28,31,Employed,Single,1,South,591,88,0.5,1.59,4.29,2.26,2,0.1528,0
180,2018-06-29,48,Employed,Married,3,East,600,88,1.47,2.41,3.33,1.8,2,0.13755,0
181,2018-06-30,45,Self-Employed,Single,4,South,687,113,0.26,0.52,5.66,3.26,3,0.14635,0
182,2018-07-01,59,Self-Employed,Widowed,0,West,887,13,1.13,1.0,2.7,2.7,1,0.07675000000000001,0
183,2018-07-02,53,Self-Employed,Single,0,East,508,61,0.88,1.75,6.81,3.09,2,0.18455,0
184,2018-07-03,21,Employed,Widowed,4,West,613,42,0.35,0.65,7.93,3.1,2,0.1749,1
185,2018-07-04,47,Employed,Divorced,4,South,325,26,1.13,2.06,5.37,3.61,1,0.21999999999999997,0
186,2018-07-05,33,Self-Employed,Single,1,East,378,111,0.67,2.65,4.07,3.09,3,0.19435,0
187,2018-07-06,61,Self-Employed,Married,0,North,427,95,1.02,1.08,6.39,3.27,3,0.20939999999999998,1
188,2018-07-07,23,Employed,Widowed,4,North,712,26,0.99,0.66,4.58,3.23,1,0.13330000000000003,0
189,2018-07-08,59,Unemployed,Single,2,South,436,67,0.17,0.42,3.72,3.4,2,0.20039999999999997,1
190,2018-07-09,26,Employed,Married,2,East,633,113,1.26,3.21,5.08,2.72,3,0.13005,0
191,2018-07-10,28,Self-Employed,Married,4,North,847,102,1.02,0.26,2.63,3.15,3,0.0938,0
192,2018-07-11,47,Unemployed,Single,1,West,687,74,1.17,2.3,3.89,1.83,2,0.1197,0
193,2018-07-12,29,Employed,Single,0,West,870,111,0.67,3.31,3.85,2.68,3,0.06365,0
194,2018-07-13,57,Employed,Single,2,South,529,47,0.29,1.02,4.86,3.51,2,0.17685,1
195,2018-07-14,53,Unemployed,Single,4,West,720,66,0.49,1.16,2.62,2.34,2,0.1165,0
196,2018-07-15,62,Self-Employed,Married,4,West,423,24,1.35,2.18,3.61,2.39,1,0.1855,0
197,2018-07-16,64,Self-Employed,Single,3,West,387,63,1.41,2.24,4.23,3.33,2,0.197,0
198,2018-07-17,44,Unemployed,Divorced,4,North,440,118,0.72,1.5,5.71,2.69,3,0.19855,0
199,2018-07-18,35,Unemployed,Married,1,East,350,23,0.45,1.7,5.0,3.63,1,0.21549999999999997,0
200,2018-07-19,52,Retired,Single,2,South,866,8,1.1,2.09,7.45,3.04,1,0.09485,0
201,2018-07-20,52,Employed,Married,3,East,704,7,1.15,1.6,3.64,3.76,1,0.1212,0
202,2018-07-21,44,Employed,Married,2,East,636,102,1.22,1.63,6.32,3.85,3,0.15130000000000002,0
203,2018-07-22,61,Employed,Widowed,2,East,665,94,0.05,3.94,6.32,3.64,3,0.12095,1
204,2018-07-23,69,Employed,Single,1,North,557,58,0.01,3.01,5.27,2.74,2,0.152,0
205,2018-07-24,69,Self-Employed,Single,4,West,687,16,0.54,3.09,5.21,2.44,1,0.1184,0
206,2018-07-25,32,Employed,Divorced,1,South,344,42,0.23,1.66,5.4,3.64,2,0.21939999999999998,0
207,2018-07-26,59,Retired,Divorced,4,East,568,94,1.21,0.28,3.59,2.99,3,0.16815000000000002,0
208,2018-07-27,22,Self-Employed,Married,3,West,610,67,0.8,4.48,6.44,3.1,2,0.1299,1
209,2018-07-28,23,Self-Employed,Married,1,North,577,3,1.24,1.38,5.11,3.57,1,0.1625,0
210,2018-07-29,69,Employed,Single,1,East,774,100,0.27,2.31,3.2,2.44,3,0.09440000000000001,0
211,2018-07-30,57,Employed,Married,0,West,866,7,0.94,2.78,6.79,3.29,1,0.08465,1
212,2018-07-31,69,Employed,Single,1,North,444,41,0.87,1.42,4.84,2.75,2,0.19399999999999998,0
213,2018-08-01,37,Employed,Single,0,West,534,48,0.51,2.9,5.08,3.4,2,0.1579,0
214,2018-08-02,69,Employed,Married,4,South,435,5,0.78,2.01,1.23,3.19,1,0.17229999999999998,0
215,2018-08-03,22,Self-Employed,Single,4,West,744,72,0.88,1.74,4.88,3.44,2,0.116,0
216,2018-08-04,22,Unemployed,Married,4,West,652,41,1.33,1.42,6.9,2.79,2,0.15230000000000002,0
217,2018-08-05,48,Unemployed,Divorced,0,South,693,71,0.08,1.0,4.06,2.65,2,0.13205,0
218,2018-08-06,43,Self-Employed,Single,4,South,574,31,1.24,0.14,3.07,3.0,2,0.16544999999999999,0
219,2018-08-07,57,Employed,Widowed,2,West,683,14,1.47,4.81,5.68,2.71,1,0.10455,0
220,2018-08-08,52,Unemployed,Widowed,1,South,622,81,1.1,3.46,2.39,2.69,2,0.11685,1
221,2018-08-09,53,Unemployed,Married,0,West,482,86,1.11,2.1,5.9,2.65,2,0.183,0
222,2018-08-10,21,Employed,Single,4,East,872,68,0.33,3.56,4.69,3.32,2,0.06485,0
223,2018-08-11,39,Unemployed,Single,2,West,739,113,0.78,3.43,5.12,3.98,3,0.10155,0
224,2018-08-12,22,Employed,Married,1,North,362,26,1.06,2.6,8.55,3.4,1,0.22124999999999997,0
225,2018-08-13,64,Unemployed,Single,1,South,333,96,0.9,1.66,5.38,3.35,3,0.22204999999999997,0
226,2018-08-14,46,Retired,Single,4,East,776,65,0.58,3.07,2.99,3.34,2,0.08525,0
227,2018-08-15,52,Employed,Widowed,2,South,386,105,1.41,2.91,5.17,2.54,3,0.19524999999999998,1
228,2018-08-16,26,Unemployed,Single,0,South,509,101,0.77,2.79,6.11,3.35,3,0.1704,0
229,2018-08-17,52,Self-Employed,Married,4,South,761,58,1.45,1.66,1.97,2.1,2,0.098,0
230,2018-08-18,24,Retired,Single,1,North,380,27,0.85,2.38,4.98,3.19,1,0.2011,1
231,2018-08-19,31,Employed,Married,1,North,621,23,1.19,2.27,2.4,3.37,1,0.12905,1
232,2018-08-20,37,Unemployed,Divorced,1,West,714,50,1.11,1.62,5.04,3.41,2,0.1255,0
233,2018-08-21,58,Employed,Single,4,North,489,20,0.99,2.37,7.32,3.33,1,0.18565,0
234,2018-08-22,44,Employed,Single,3,South,532,30,0.02,3.25,4.35,2.38,2,0.15125,0
235,2018-08-23,25,Employed,Married,3,East,691,74,0.12,3.53,5.12,2.68,2,0.11255,0
236,2018-08-24,54,Retired,Married,3,East,468,49,0.87,2.5,5.42,3.59,2,0.1801,0
237,2018-08-25,26,Unemployed,Married,2,East,742,91,1.37,1.83,5.51,3.18,3,0.11875,1
238,2018-08-26,42,Unemployed,Single,4,South,467,111,0.9,2.85,5.22,3.16,3,0.17585,0
239,2018-08-27,31,Retired,Single,1,North,530,39,0.35,1.13,1.99,2.73,2,0.16115000000000002,0
240,2018-08-28,68,Employed,Widowed,2,East,449,67,0.48,1.62,5.28,2.45,2,0.19295,0
241,2018-08-29,36,Employed,Divorced,3,South,849,106,0.93,3.28,4.05,2.63,3,0.07020000000000001,0
242,2018-08-30,53,Employed,Married,0,South,685,105,0.9,3.87,3.29,2.31,3,0.10149999999999999,0
243,2018-08-31,29,Employed,Married,2,East,680,15,1.43,3.14,5.3,3.28,1,0.1201,1
244,2018-09-01,26,Employed,Married,2,East,574,75,0.79,1.92,5.21,1.53,2,0.15835000000000002,0
245,2018-09-02,36,Employed,Married,4,West,361,85,0.53,-0.19,2.34,2.64,2,0.21835,0
246,2018-09-03,49,Employed,Single,2,West,766,98,0.79,2.78,4.4,3.99,3,0.09770000000000001,0
247,2018-09-04,23,Employed,Married,4,South,827,106,1.18,2.52,7.01,2.89,3,0.0981,0
248,2018-09-05,40,Employed,Married,0,West,449,62,0.81,2.55,3.11,2.61,2,0.1728,0
249,2018-09-06,56,Employed,Single,1,West,441,55,0.49,0.57,5.25,4.12,2,0.20529999999999998,1
250,2018-09-07,39,Retired,Married,1,East,415,79,0.51,1.67,3.19,2.8,2,0.1905,0
251,2018-09-08,46,Unemployed,Married,3,West,364,23,1.14,3.87,7.46,3.99,1,0.20259999999999997,1
252,2018-09-09,23,Retired,Married,3,South,728,98,0.1,0.98,6.05,2.86,3,0.13345,0
253,2018-09-10,39,Employed,Married,0,East,609,27,0.41,2.58,3.76,3.46,1,0.13575,1
254,2018-09-11,40,Employed,Divorced,1,West,729,105,0.23,1.34,5.32,4.15,3,0.12595,1
255,2018-09-12,52,Unemployed,Single,3,West,460,92,1.42,2.51,2.94,3.07,3,0.16959999999999997,0
256,2018-09-13,27,Employed,Married,2,West,605,84,0.14,1.8,2.28,2.83,2,0.13715,0
257,2018-09-14,61,Employed,Married,4,North,660,111,1.14,3.21,4.86,3.36,3,0.1222,0
